n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
9,400,99,30,brute,0.54,0.012998342514038086,0.012998342514038086
9,400,3,100,brute,0.485,0.010999202728271484,0.010999202728271484
9,400,7,100,brute,0.53,0.012000799179077148,0.012000799179077148
9,400,9,100,brute,0.5,0.012998819351196289,0.012998819351196289
9,400,27,100,brute,0.52,0.012000083923339844,0.012000083923339844
9,400,65,100,brute,0.515,0.013000726699829102,0.013000726699829102
9,400,99,100,brute,0.54,0.013999700546264648,0.013999700546264648
9,1000,3,2,ball_tree,0.512,0.03400111198425293,0.03400111198425293
9,1000,7,2,ball_tree,0.52,0.0279998779296875,0.0279998779296875
9,1000,9,2,ball_tree,0.51,0.029000520706176758,0.029000520706176758
9,1000,27,2,ball_tree,0.484,0.029999732971191406,0.029999732971191406
9,1000,65,2,ball_tree,0.506,0.03499960899353027,0.03499960899353027
9,1000,99,2,ball_tree,0.504,0.03600025177001953,0.03600025177001953
9,1000,3,30,ball_tree,0.512,0.025998592376708984,0.025998592376708984
9,1000,7,30,ball_tree,0.52,0.029000043869018555,0.029000043869018555
9,1000,9,30,ball_tree,0.51,0.029001235961914062,0.029001235961914062
9,1000,27,30,ball_tree,0.484,0.029000043869018555,0.029000043869018555
9,1000,65,30,ball_tree,0.506,0.033998727798461914,0.033998727798461914
