n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
3,400,99,2,ball_tree,0.87,0.015000343322753906,0.015000343322753906
3,400,3,30,ball_tree,0.935,0.010999679565429688,0.010999679565429688
3,400,7,30,ball_tree,0.97,0.011001110076904297,0.011001110076904297
3,400,9,30,ball_tree,0.95,0.010999441146850586,0.010999441146850586
3,400,27,30,ball_tree,0.945,0.01300048828125,0.01300048828125
3,400,65,30,ball_tree,0.9,0.013000249862670898,0.013000249862670898
3,400,99,30,ball_tree,0.87,0.013999223709106445,0.013999223709106445
3,400,3,100,ball_tree,0.935,0.012000322341918945,0.012000322341918945
3,400,7,100,ball_tree,0.97,0.012999534606933594,0.012999534606933594
3,400,9,100,ball_tree,0.95,0.010999917984008789,0.010999917984008789
3,400,27,100,ball_tree,0.945,0.011999845504760742,0.011999845504760742
3,400,65,100,ball_tree,0.9,0.014000415802001953,0.014000415802001953
3,400,99,100,ball_tree,0.87,0.014999866485595703,0.014999866485595703
3,400,3,2,kd_tree,0.935,0.011000871658325195,0.011000871658325195
3,400,7,2,kd_tree,0.97,0.01299905776977539,0.01299905776977539
3,400,9,2,kd_tree,0.95,0.012000083923339844,0.012000083923339844
3,400,27,2,kd_tree,0.945,0.01399993896484375,0.01399993896484375
3,400,65,2,kd_tree,0.9,0.017000675201416016,0.017000675201416016
3,400,99,2,kd_tree,0.87,0.017999887466430664,0.017999887466430664
3,400,3,30,kd_tree,0.935,0.010999679565429688,0.010999679565429688
3,400,7,30,kd_tree,0.97,0.011000633239746094,0.011000633239746094
3,400,9,30,kd_tree,0.95,0.011998891830444336,0.011998891830444336
3,400,27,30,kd_tree,0.945,0.013000965118408203,0.013000965118408203
3,400,65,30,kd_tree,0.9,0.013000726699829102,0.013000726699829102
3,400,99,30,kd_tree,0.87,0.01399850845336914,0.01399850845336914
3,400,3,100,kd_tree,0.935,0.01100015640258789,0.01100015640258789
3,400,7,100,kd_tree,0.97,0.01100015640258789,0.01100015640258789
3,400,9,100,kd_tree,0.95,0.011999845504760742,0.011999845504760742
3,400,27,100,kd_tree,0.945,0.011999368667602539,0.011999368667602539
3,400,65,100,kd_tree,0.9,0.013000965118408203,0.013000965118408203
3,400,99,100,kd_tree,0.87,0.014000415802001953,0.014000415802001953
3,400,3,2,brute,0.935,0.011001348495483398,0.011001348495483398
3,400,7,2,brute,0.97,0.010998010635375977,0.010998010635375977
3,400,9,2,brute,0.95,0.011000633239746094,0.011000633239746094
3,400,27,2,brute,0.945,0.012000083923339844,0.012000083923339844
3,400,65,2,brute,0.9,0.011998891830444336,0.011998891830444336
3,400,99,2,brute,0.87,0.01300048828125,0.01300048828125
3,400,3,30,brute,0.935,0.011001110076904297,0.011001110076904297
3,400,7,30,brute,0.97,0.010998964309692383,0.010998964309692383
3,400,9,30,brute,0.95,0.01100015640258789,0.01100015640258789
3,400,27,30,brute,0.945,0.012001276016235352,0.012001276016235352
3,400,65,30,brute,0.9,0.011998891830444336,0.011998891830444336
3,400,99,30,brute,0.87,0.01300048828125,0.01300048828125
3,400,3,100,brute,0.935,0.01099848747253418,0.01099848747253418
3,400,7,100,brute,0.97,0.010999917984008789,0.010999917984008789
3,400,9,100,brute,0.95,0.01100015640258789,0.01100015640258789
3,400,27,100,brute,0.945,0.012001276016235352,0.012001276016235352
3,400,65,100,brute,0.9,0.012000560760498047,0.012000560760498047
3,400,99,100,brute,0.87,0.01299905776977539,0.01299905776977539
3,1000,3,2,ball_tree,0.976,0.024998188018798828,0.024998188018798828
3,1000,7,2,ball_tree,0.966,0.02599811553955078,0.02599811553955078
3,1000,9,2,ball_tree,0.96,0.0260009765625,0.0260009765625
3,1000,27,2,ball_tree,0.954,0.029000520706176758,0.029000520706176758
3,1000,65,2,ball_tree,0.964,0.032998085021972656,0.032998085021972656
3,1000,99,2,ball_tree,0.962,0.036000967025756836,0.036000967025756836
3,1000,3,30,ball_tree,0.976,0.025002241134643555,0.025002241134643555
3,1000,7,30,ball_tree,0.966,0.025999784469604492,0.025999784469604492
3,1000,9,30,ball_tree,0.96,0.02599644660949707,0.02599644660949707
3,1000,27,30,ball_tree,0.954,0.028002023696899414,0.028002023696899414
